LEFT	NODE	RIGHT	GENRE	AGENT_LEX	AGENT_TYPE	OV_IN_RELCL
au mengganti baju,	berikan	gambaran dengan mengucapkan yang Anda lakukan.	Populer			
at di fasilitas kesehatan lebih awal sebelum musim mudik Lebaran 2019. Kami	berikan	kemudahan pada mudik Lebaran, kata Beno.	Koran			
n 2 ventilasi melalui mulut ke mulut, mulut ke masker, atau kantung masker.	Berikan	setiap napas lebih dari 1 detik.	Buku_Teks			
Cahaya berkah yang kemudian kami	berikan	pada anak dan cucuku di dalam kandungan. Agar kelak, mereka juga tumbuh da	Cerpen	kami	pro	TRUE
esempatan menang, aku	berikan	kamu hak untuk memilih jenis pertarungan. Pedang. Pistol. Atau lari cepat,	Novel			
ko. Kau juga mengirim mereka ke luar negeri. Dan persentase komisi yang kau	berikan	"bukan main besarnya. Kau tidak takut rugi?"""""	Biografi	kau	pro	TRUE
inya serta	berikan	ukuran.	Buku_Teks			
ffiliate marketing dalam tulisan di blog. Nah, dalam tulisan yang Anda buat	berikan	seperti apa contoh dari affiliate marketing itu. Contoh lain, misalkan And	Populer			
n dan kekurangan. Pendidikan menjadi satu-satunya harapan yang dapat mereka	berikan	kepada anak keturunannya sebagai warisan.	Jurnal	mereka	pro	TRUE
anya, sambung Fachry, bila ada siswa yang berhasil terbang solo selalu kami	berikan	perayaan kecil-kecilan. Demikian juga di sini (Lanud Iswahjudi), yang sele	Biografi			
Dalam laporan anda,	berikan	data dan informasi yang menjawab pertanyaanpertanyaan	Surat_Resmi			
Santuan lain yang mereka	berikan	yaitu terkait jaminan hidup sebesar Rp 900.000 per orang selama tiga bulan	Koran	mereka	pro	TRUE
Setelah dekontaminasi,	berikan	antidotum mulai dari sulfas atropin dengan dosis 0,05-0,1 mg/kg untuk anak	Buku_Teks			
atau ringer laktat).	Berikan	bolus tambahan (20 mL/kgBB) jika perfusi sistemik tidak meningkat. Jika sy	Buku_Teks			
Unpad	Berikan	Layanan Informasi di Career Day 2019 SMA Edu Global Bandung	Laman_Resmi			
uk mem	berikan	instruksi kepada anak buah nya untuk bersikap netral dalam pilpres. Tapi,	Koran			
tu dan	berikan	penjelasan secara singkat tentang kerajaan tersebut, misalnya kapan berdir	Buku_Teks			
* Jaga keseimbangan hemodinamik,	berikan	inotropik bila perlu. Pada EN stadium III sering dijumpai hipotensi refrak	Buku_Teks			
Menteri ESDM	Berikan	Pengarahan Kepada 282 CPNS Kementerian ESDM	Laman_Resmi			
arinya saja. Semakin terlatih, anak akan bisa merobek sesuai pola yang kita	berikan	. Nikmati prosesnya. Jangan lupa, sampaikan kepada anak untuk hanya merobek	Populer	kita	pro	TRUE
onal. Tentukan nama teman kamu yang akan dijadikan sebagai panitia pameran.	Berikan	alasan terhadap pilihan nama yang kamu tentukan tersebut. Diskusikanlah su	Buku_Teks			
Dalam laporan anda,	berikan	data dan informasi yang menjawab pertanyaanpertanyaan	Surat_Resmi			
2)	Berikan	nilai satu (1) pada tiap kalimat yang mengandung CRM	Disertasi_Tesis_Skripsi			
nilah demokrasi. Satu wadah yang mem-	berikan	kesempatan yang sama kepada seluruh rakyat untuk menjadi presiden.	Biografi			
Apakah dukun yang dipilih kurang sakti? Atau, jangan-jangan mantra yang ia	berikan	salah! Atau, jangan-jangan ada yang iri, sengaja mengirim mantra-mantra un	Populer	ia	pro	TRUE
Jelaskan dan	berikan	contohnya!	Buku_Teks			
ndaknya memberikan manfaat bagi orang lain. Semakin besar manfaat yang kita	berikan	", semakin baik. Falsafah lainnya adalah """"nglurug tanpa bala, menang tanpa n"	Biografi	kita	pro	TRUE
n. Pembicara menggunakan partikel pelembut untuk menghaluskan saran yang ia	berikan	dengan nuansa akrab.	Disertasi_Tesis_Skripsi	ia	pro	TRUE
getahuan yang sangat berguna bagi awak kerja kami. Wawasan kelautan yang ia	berikan	membuat para karyawan dengan cepat memahami dunia oil spill yang khas. Kon	Biografi	ia	pro	TRUE
nan RLH yang dilaksanakan oleh pemerintah untuk mereka. Bantuan yang mereka	berikan	tentu saja sesuai dengan kemampuan yang dimiliki, yaitu bukan berupa uang	Jurnal	mereka	pro	TRUE
3	Berikan	contoh rencana lain jika terjadi keadaan darurat!	Buku_Teks			
~	Berikan	pujian pada anak jika dia menjawab.	Populer			
kan sambil memberikan stimulasi untuk melatih kekuatan otot-otot tangannya.	Berikan	botol plastik kosong dan gelas plastik dan biarkan anak mengisi botol air	Populer			
gerakan dan merekam apa saja yang mereka bicarakan. Catatan itu kemudian ia	berikan	kepada tentara-tentara di Komando Distrik Militer. Berkat catatan itu, mah	Novel	ia	pro	FALSE
p untuk menawar dengan harga terlalu rendah dari yang diminta oleh penjual,	berikan	saran pada mereka sebagai berikut:	Populer			
ISC SMARTGRID 2015:	Berikan	Wawasan Sistem Ketenagalistrikan Masa Depan	Laman_Resmi			
b.	Berikan	keterangan gambar dari lukisan yang kalian amati.	Buku_Teks			
r-lebar. Aku menengadah dan kepada langit kukatakan: Ini aku! Putra ayahku!	Berikan	padaku sesuatu yang besar untuk kutaklukkan! Beri aku mimpi-mimpi yang tak	Novel			
aka, kalian harus bisa menerima kehidupan sesuai dengan apa yang Ayah mampu	berikan	. Berjuanglah sejak sekarang. Karena Ayah belum tentu bisa menyekolahkan ka	Biografi			
pencarian dan evakuasi korban pesawat Twin Otter PK-CDC belum bersedia mem	berikan	keterangan terkait penemuan tersebut.	Koran			
ama Indonesianya, atau nama dalam bahasa daerah lain. Dari gambaran yang ia	berikan	, daun itu mirip-mirip sembung. Tetapi tentu bukan sembung, karena sembung	Cerpen	ia	pro	TRUE
Apa saja yang bisa saya	berikan	kepada orang lain?	Populer	saya	pro	TRUE
kap yang dapat kalian ambil untuk kehidupan di masyarakat. Oleh karena itu,	berikan	penilaian sikap terhadap dirimu sendiri dan teman selama pembelajaran atle	Buku_Teks			
3	Berikan	penjelasan tentang perbedaan ideologi Pancasila dengan ideologi beberapa n	Buku_Teks			
Bahasa dakwah yang memperhatikan segala konsekuensi dari jawaban yang kita	berikan	","""" ujarnya lebih lanjut."	Biografi	kita	pro	TRUE
ungan dengan pembeli Anda, serahkan pada pemasar properti pemegang listing.	Berikan	kesan dan kerja sama yang baik pada rekan Anda.	Populer			
ahaan Anda maka dapat menyebutkan sistem pelayanan yang Anda dan perusahaan	berikan	kepada semua pelanggan.	Populer			
t saya untuk bertemu dan menilai bersama-sama proyek atau proposal yang dia	berikan	? Siapa tahu kita bisa mengambil kesempatan dan keuntungan apabila terjadi	Populer	dia	pro	TRUE
kasi dapat meliputi bradikardi, blok hati jantung, dan torsades de pointes.	Berikan	perhatian terutama bila diberikan bersama dengan obat lain yang menyebabka	Buku_Teks			
"nyaan tersebut kepada Anda seperti, """"Bagaimana menurut pendapat Anda?"""" maka"	berikan	saran dan pendapat Anda sebagai pemasar properti.	Populer			
f.	Berikan	selalu reward atau pujian kepada anak atau siswa apapun hasil tulisannya a	Populer			
imbaukepada pemerintah ke camatan hingga pe de saan ber sa ma-sama ikut mem	berikan	sosialisasi ter ha dap warganya di lingkung an masing masing terkait KLB a	Koran			
"ini hingga seminggu kedepan dilakukan oleh BP Migas, Dirjen Migas dan PGN. """""	Berikan	waktu kepada kami, selambat-lambatnya dalam satu minggu akan selesai angka	Laman_Resmi			
nak-kanak. Dan sekarang mereka harus melihat Rosie kalap, tidak terkendali.	Berikan	waktu dua hari agar aku bisa mengamati dan mengambil kesimpulan. Kita berh	Novel			
Menhan RI	Berikan	Ceramah Pada Acara Konferensi Internasional Moderasi Islam Mataram	Laman_Resmi			
memilihkan karya yang sederhana dan relatif akrab dengan keseharian siswa.	Berikan	contoh-contoh kegiatan apresiasi dan kritik yang biasa dilakukan siswa seh	Buku_Teks			
vitasmu dalam menampilkan gerakan akan menentukan nilai yang Bapak/Ibu Guru	berikan	.	Buku_Teks			
ulah balasan mereka atas sumbangan emas dan pesawat terbang yang telah kita	berikan	. Kira membantu mereka dengan sepenuh hati, tanpa sedikit pun menghiraukan	Novel	kita	pro	TRUE
depan yang bisa Anda	berikan	bagi	Majalah	anda	pro	TRUE
era berganti pagi, aku ingin cepat memeluk bunda. Semoga surat ini bisa aku	berikan	langsung pada bunda. Aku berharap bunda juga ingin bertemu denganku. Ah ra	Cerpen	aku	pro	FALSE
ram pemikiran klien, dan tahu karakteristik klien, bila telah tahu dan kita	berikan	informasi sesuai dengan situasi dan kondisi pemikiran klien, penyampaian i	Disertasi_Tesis_Skripsi			
Menbudpar	Berikan	Cipta Award 2011 kepada Pengelola Daya Tarik Wisata Berwawasan Lingkungan	Laman_Resmi			
sasi manusia. Nah, coba sekarang renungkanlah hal-hal berikut serta cobalah	berikan	jawabannya dengan penuh kejujuran.	Buku_Teks			
~	Berikan	waktu istirahat bagi otak dengan tidur berkualitas.	Majalah			
"enghela napas berat. """"Baik."	Berikan	Lail dan Maryam peralatan terbaik yang dimiliki tenda pengungsian. Sepatu	Novel			
2	Berikan	uraian secara singkat tentang sejarah perkembangan Pancasila!	Buku_Teks			
abel Pribadi, semua artikel yang berkenaan dengan catatan pribadi akan kami	berikan	label ini. Atau, label Jasa, semua artikel yang terkait dengan layanan jas	Populer	kami	pro	TRUE
njikan beliau, 2-3 hari untuk di	berikan	copy jaminan tsb. Untuk mengurus kelengkapan dokumen, saya segera pulang k	Koran			
ang Anda maksud dan makna dari yang Anda katakan. Ketika melakukan sesuatu,	berikan	upaya terbaik Anda dan tidak berpura-pura tampil lebih baik. Jangan mengat	Majalah			
memakai masker apabila keluar dari hotel. Takutnya nanti petugas kami akan	berikan	"sanksi denda. Jadi jangan lupa pakai masker,"""" sambung Irwan yang juga memo"	Laman_Resmi			
tuk melakukan aktivitas dan perawatan diri bertahap jika dapat ditoleransi.	Berikan	bantuan sesuai dengan kebutuhan. Mempertahankan tirah baring. Berikan tind	Disertasi_Tesis_Skripsi			
Utamakan patient safety dan	berikan	pelayanan yang terbaik kepada seluruh lapisan masyarakat, Pelayanan terbai	Laman_Resmi			
an 'saya punya anak dan saya butuh izin untuk pergi'. Tapi polisi tidak mem	berikan	"saya otorisa si, jadi saya tidak bisa pergi,"""" kata Ehmet."	Koran			
Sambil melihat buku bersama-sama,	berikan	komentar pada cerita buku. Ulangi yang dikatakan tokoh dalam buku. Misalny	Populer			
ja aktivaku, perusahaan yang sehat, yang kami mau. Naikkan laba secepatnya,	berikan	kami keuntungan, maka akan kuangkat kamu menjadi sales tepercaya. Ahaaa, s	Populer			
Dalam laporan anda,	berikan	data dan informasi yang menjawab pertanyaanpertanyaan	Surat_Resmi			
Jaminan yang Anda	berikan	bernilai sebanding atau lebih besar dari dana yang Anda pinjam. Dengan beg	Populer	anda	pro	TRUE
~	Berikan	penjelasan singkat perubahan yang dibuat Perusahaan Asuransi	Surat_Resmi			
hui semua alasan di balik suatu tampilan tugas gerak yang dilakukan siswa).	Berikan	penjelasan secara rasional atas semua tindakan benar atau salah para siswa	Jurnal			
r-lebar. Aku menengadah dan kepada langit kukatakan: Ini aku! Putra ayahku!	Berikan	padaku sesuatu yang besar untuk kutaklukkan! Beri aku mimpi-mimpi yang tak	Novel			
rkan oleh orang lain. Jangan terlalu menggurui para remaja tersebut, tetapi	berikan	"kesempatan kepada mereka untuk mengungkapkan pendapat dan isi hati. """"Orang"	Populer			
ndahuluan yang peneliti lakukan kepada 5 orang penderita hipertensi yang di	berikan	kuisioner HARS (Hamilton Anxiety Rating Scale) terdapat 3 orang dengan cem	Jurnal			
arena itu semangat #AyoIndonesia ini adalah bentuk dukungan yang ingin kita	berikan	kepada atlet'' ucap Menpora didepan wartawan, ratusan pegiat media sosial	Laman_Resmi	kita	pro	TRUE
lum terjual atau alasan yang membuat mereka ingin menjual sendiri, kemudian	berikan	solusi.	Populer			
k dapat tertolong oleh sistem yang ada. Di samping itu, bantuan yang mereka	berikan	lebih bersifat temporer (sementara), selama warga tersebut masih dinyataka	Populer	mereka	pro	TRUE
dari pemahamannya tentang cahaya matahari. Penilaian seperti ini dapat saya	berikan	setelah saya sering mengikuti dan memperhatikan DT mengajar tentang lighti	Biografi	saya	pro	FALSE
Berikan makanan lebih sering (4 kali sehari). Setelah anak berumur 1 tahun,	berikan	semua makanan yang dimasak dengan baik, 4-6 kali sehari, serta teruskan pe	Disertasi_Tesis_Skripsi			
Antigone dan	berikan	penjelasan?	Buku_Teks			
"sa tersenyum, lakukan kontak mata dan katakan """"pa pa pa"""". Respons yang Anda"	berikan	dapat mendorong bayi untuk membuat lebih banyak suara. Selama anak mengelu	Populer	anda	pro	TRUE
ggan ibu yang mayoritas kaum laki-laki itu. Tidak hanya candaan yang mereka	berikan	. Aku pun sering diberikan permen atau makanan ringan untuk seusiaku. Yang	Cerpen	mereka	pro	TRUE
pertama yang kita	berikan	kepada	Majalah	kita	pro	TRUE
ak diajukan,	berikan	alasannya pada kolom	Surat_Resmi			
silih berganti mereka sampaikan. Tak lupa beragam nasihat pun turut mereka	berikan	agar aku menjaga baik-baik seragam kebanggaan itu.	Cerpen	mereka	pro	FALSE
	Berikan	nama alat, fungsi, dan gambar!	Buku_Teks			
nya boleh diinterupsi untuk melakukan ventilasi, periksa irama jantung, dan	berikan	defibrilasi. Bila masih terdapat irama defibrilasi, lanjutkan kompresi dad	Buku_Teks			
5	Berikan	Bantuan Napas	Buku_Teks			
*	Berikan	satu kali defibrilasi (2 J/kg) secepatnya dan segera melakukan RJP, dimula	Buku_Teks			
a mereka menempelkan beberapa gambar maupun stiker ke dalam sehelai kertas.	Berikan	reward.	Populer			
yang bisa Anda	berikan	pada	Majalah	anda	pro	TRUE
kinkan penolong persalinan untuk terus menerus memperhatikan asuhan yang di	berikan	selama proses persalinan. Mengkaji ulang catatan memungkinkan untuk mengan	Buku_Teks			
gi yang sesuai dengan tingkat kesulitannya untuk mengeijakan tugas menulis.	Berikan	tugas yang menarik dan memang diminati-nya. Hal ini akan meningkatkan kema	Populer			
ini gula tercampur rata dengan air. Termasuk campuran apakah peristiwa ini?	Berikan	penjelasannya.	Buku_Teks			
saya tidak pecah dilindas mobil. Pak Bayu memenuhi janjinya. Bonus yang ia	berikan	sungguh menyenangkan hati. Pak Bayu adalah pemimpin yang memanusiakan manu	Biografi	ia	pro	TRUE
kap yang dapat kalian ambil untuk kehidupan di masyarakat. Oleh karena itu,	berikan	penilaian sikap terhadap dirimu sendiri dan teman selama pembelajaran sena	Buku_Teks			
Ny. Lie, segala bentuk penghargaan bukanlah tujuan dari pelayanan yang dia	berikan	. Dia melakukan itu dengan ketulusan menolong orang yang membutuhkan. Dia t	Biografi	dia	pro	TRUE
perubahan yang telah mereka	berikan	~	Majalah	mereka	pro	TRUE
a yang ibu katakan. Dan tak dapat memberikan nasihat seperti yang biasa ibu	berikan	padaku. Tapi, aku sungguh-sungguh mendengar apa yang dikatakannya. Karena	Cerpen	ibu	noun-kinship	TRUE
~	Berikan	tanda centang (?) pada kolom yang benar dan salah.	Buku_Teks			
3	Berikan	pelayanan yang memuaskan kepada konsumen Anda.	Populer			
u. Aku	berikan	pada dia.	Cerpen			
f.	Berikan	dukungan dan besarkan hatinya dan tetramkan hati ibu beserta keluarganya	Buku_Teks			
/selebaran untuk klien listing atau pembeli, isilah formulir yang tepat dan	berikan	kepada petugas administrasi kantor yang mempunyai contoh brosur/selebaran,	Populer			
sehingga sering tersesat,	berikan	~	Majalah			
saku Anda setiap hari dan jangan pulang sebelum memberikan semua kartu itu.	Berikan	persediaan kartu bisnis Anda pada teman dan saudara untuk disebarkan denga	Populer			
~	Berikan	waktu dan ruang	Majalah			
suh-Nya. Maka seorang mukmin tidak pantas hasad alas karunia yang Allah SWT	berikan	kepada hamba-Nya. Hasad akan menghilangkan pahala dari kebaikan-kebaikan d	Populer	Allah SWT	proper_noun	TRUE
onesia berlangsung dalam waktu yang panjang bahkan masih terus berlangsung.	Berikan	penjelasan!	Buku_Teks			
pahlawan teknologi Indonesia. Karya dan pengabdian terbaik yang telah bapak	berikan	akan tetap dikenang dan menginspirasi anak bangsa.	Laman_Resmi	bapak	noun-kinship	TRUE
~	Berikan	contoh sikap percaya diri	Populer			
Apakah persengketaan tersebut dapat mengancam keutuhan wilayah negara kita?	Berikan	alasanmu.	Buku_Teks			
10.05.05	Berikan	Testimoni	Populer			
~	berikan	berupa ujian paket A, B, dan	Majalah			
embuat Anda maupun anak Anda merasa frustrasi dan stres. Jika memungkinkan,	berikan	tugas menulis yang singkat dan sangat sederhana saja.	Populer			
salahkah yang kudengar? Kalau begitu, bagaimana dengan malaikat yang Tuhan	berikan	untuk aku? Ibukah itu?	Cerpen	Tuhan	noun	TRUE
elaskan persamaan dan perbedaan masyarakat madani dengan masyarakat modern,	berikan	contoh masing-masing !	Buku_Teks			
asi maka cantumkan prestasi kantor atau perusahaan Anda secara keseluruhan.	Berikan	juga setumpuk kartu nama pada anak-anak Anda agar mereka berikan kepada te	Populer			
06.03.05	Berikan	Inspirasi untuk Orang Lain	Populer			
atu per satu untuk mengucapkan terima kasih atas dukungan yang telah mereka	berikan	.	Koran	mereka	pro	TRUE
kat untuk mem	berikan	yang terbaik, termasuk pendidikan dan kesejahteraannya. Kami tak pernah me	Biografi			
~	Berikan	penjelasan singkat perubahan yang dibuat Perusahaan Asuransi	Surat_Resmi			
k atau ulasan karya akan banyak dijumpai konsep dan istilah-istilah teknis.	Berikan	stimulus agar siswa mau bertanya. Berikan contoh istilah-istilah yang terd	Buku_Teks			
untuk memberitahukan kepada Anda tentang apa yang mereka inginkan, kemudian	berikan	umpan balik sebagai bentuk respons pada anak.	Populer			
Kami bisa	berikan	transfer teknolgi sepenuhnya, sehingga nanti pada saatnya Indonesia bisa m	Laman_Resmi			
3. Pada bagian Privacy.	berikan	tanda centang pada opsi Mo dari kedua pengaturan yang ada.	Populer			
jat kursi. Tanpa pikir panjang aku bantu ia memasangkan lukisan, aba-aba ia	berikan	agar letaknya tidak miring.	Cerpen	ia	pro	FALSE
Untuk latihan, kami	berikan	banyak alamat situs yang berisi informasi penting, baik portal berita maup	Populer			
a tinggi sekali ke lingkar politik terdalam negeri ini. Atau, jika kau bisa	berikan	langsung kepada RI-1. mungkin upahmu akan besar sekali.	Novel			
ngkilah yang mendapatkan nikmat yang lebih besar daripada nikmat yang Allah	berikan	kepadanya. Pada saat demikian, orang tersebut akan meremehkan nikmat yang	Populer	Allah	proper_noun	TRUE
"erupakan misi profetis yang berlaku sepanjang masa. """"Perlindungan yang kita"	berikan	"kepada kaum dhuafa dapat mengangkat kita ke arah kualitas takwa,"""" papar Me"	Laman_Resmi	kita	pro	TRUE
Berikut instruksi yang Anda	berikan	pada anak:	Populer	anda	pro	TRUE
-1	Berikan	sugesti yang positif dan hindari sugesti yang negative.	Disertasi_Tesis_Skripsi			
ta manusia, Maka Riba itu tidak menambah pada sisi Allah. dan apa yang kamu	berikan	berupa zakat yang kamu maksudkan untuk mencapai keridhaan Allah, Maka (yan	Buku_Teks	kamu	pro	TRUE
~	Berikan	paragraf tanpa tanda baca, suruhlah anak untuk membacanya.	Populer			
n tabungannya yang dikumpulkan serupiah demi serupiah setiap hari. Semua ia	berikan	untuk saya. Bukan main terharunya saya. Saya merasakan energi yang sangat	Biografi	ia	pro	FALSE
piano, berbahasa asing, dan segala kebutuhan nonfisik yang tak sanggup kau	berikan	.	Cerpen	kau	pro	TRUE
dibatasi dalam bertindak. Nah, untuk menjadi seorang upline yang fleksibel,	berikan	keleluasaan bagi downline Anda untuk melakukan berbagai hal yang mungkin m	Populer			
umbuhan serta perkembangan otak janin. Oleh karena itu, stimulasi yang Anda	berikan	harus lebih jarang untuk menghindari dampak negatif.	Populer	anda	pro	TRUE
enis, fungsi, simbol, nilai estetis dan tokoh dalam kritik karya seni rupa.	Berikan	tugas untuk menulis kritik karya seni rupa dengan memilihkan karya yang se	Buku_Teks			
sumbangsihnya sebagai anak bangsa untuk memberikan apa yang memang bisa dia	berikan	kepada negaranya, sesuai latar belakang pendidikannya. Akan tetapi, walaup	Biografi	dia	pro	TRUE
g Kong, Bujang-kun?	Berikan	"kami perintah, aku akan mengirim ratusan ninja terbaik ke sana."""" Akashi la"	Novel			
~	Berikan	penjelasan singkat perubahan yang dibuat Perusahaan Asuransi	Surat_Resmi			
ilai, yang tidak akan hilang dan tidak terukur dengan apa yang telah mereka	berikan	. Ketika cahaya hakikat ini secara konsisten dilakukan oleh kelompok kecil	Populer	mereka	pro	TRUE
~	Berikan	latihan membaca kata atau frasa.	Populer			
laskan!	Berikan	pula penjelasan tentang pembaharuan yang terjadi di bidang ini!	Buku_Teks			
~	Berikan	Akses Energi Warga Daerah 3T, LTSHE Terangi 16 Desa di Bengkulu	Laman_Resmi			
silih berganti mereka sampaikan. Tak lupa beragam nasihat pun turut mereka	berikan	agar aku menjaga baik-baik seragam kebanggaan itu.	Cerpen	mereka	pro	FALSE
apa yang buruk dari tulisan itu dan ia tahu tanggapan selain yang telah ia	berikan	bakal memperburuk keadaan. Dan menurutnya orang-orang dewasa sudah semesti	Cerpen	ia	pro	TRUE
lanjutnya, isi form yang tersedia.	Berikan	data seputar info kontak, data diri, info website, dan sebagainya.	Populer			
i macam karya sosial. Ny. Lie tidak pernah memperhitungkan bantuan yang dia	berikan	, tidak pernah ada perhatian yang terlalu besar baginya bila menyangut pers	Biografi	dia	pro	TRUE
tum (amil nitrit, Na-nitrit dan Na- tiosulfat). Sambil menunggu akses vena,	berikan	amil nitrit per inhalasi. Setelah akses vena terpasang, berikan Na-nitrit	Buku_Teks			
"industri? Teman saya yang mempunyai pabrik vaksin hewan sempat menantang: """""	Berikan	"1 persen saja, aku jamin bisa ekspor vaksin hewan."""""	Koran			
apakah pendekatan dan metode yang dipilih sesuai dengan judul proposal, dan	berikan	alasan yang memadai agar orang lain yakin.	Buku_Teks			
gucapkan kata atau memberikan tanda untuk melabel atau mengucapkan sesuatu,	berikan	perhatian positif dengan menanggapi apa yang baru saja mereka katakan.	Populer			
ini akan membantu petugas kesehatan supaya lebih profesional dan aman dalam	berikan	layanan, kata Yurianto, Rabu (8/4).	Koran			
Keempat, Ditjen PP-PL Kemenkes juga	berikan	bantuan logistik yang telah dan akan diberikan ke Jawa Timur berupa tenda	Laman_Resmi			
api, maka semakin miskin variasi alternatif penanganan masalah yang bisa ia	berikan	.	Populer	ia	pro	TRUE
a,	berikan	argumen Anda.	Buku_Teks			
Kita langsung	berikan	ikan, daging, telur atau yang dibutuhkan untuk dimasak. Selama pendampinga	Koran			
ragaku hanya dalam-Mu ku teduh Hatiku yang Engkau pulihkan, pada-Mu juga ku	berikan	.	Buku_Teks			
seluruhan. Berikan juga setumpuk kartu nama pada anak-anak Anda agar mereka	berikan	kepada teman-temannya untuk selanjutnya disampaikan pada orang tua mereka.	Populer			
ang kamu peroleh dari orang lain, tapi pikirlah hal terbaik yang dapat kamu	berikan	kepada orang lain, niscaya Allah akan memberikan kasih sayang-Nya kepadamu	Populer	kamu	pro	TRUE
ahwa Allah akan mengganti yang lebih baik, dan itu mutlak. Pasti Allah akan	berikan	yang terbaik untuknya.	Cerpen			
an pengamatan gambar di atas,	berikan	penafsiran/ deskripsimu sendiri tentang benda benda yang tersebut, dengan	Buku_Teks			
eni yang kau ajar- kan dan membuat sesuatu yang berguna dengan api yang kau	berikan	. kehidupan mereka semakin membaik.	Buku_Teks	kau	pro	TRUE
Menhan	Berikan	Pembekalan Kepada Peserta PPRA LX 2020 Lemhannas	Laman_Resmi			
1) Jelaskan pengertian simposium dan	berikan	contohnya!	Populer			
*	Berikan	pendapat Anda perihal kewenangan MK dalam penyelesaian Judicial Review: UU	Buku_Teks			
yang biasa dilakukan (selalu, sering, kadang- kadang, tidak pernah), serta	berikan	alasan dilakukannya perilaku itu. Ingat, kamu harus mengisinya sesuai deng	Buku_Teks			
inasi isi lambung dengan bilas lambung dan berikan arang aktif. Selanjutnya	berikan	perawatan suportif yang terdiri dari pemberian oksigen 100%, bila perlu la	Buku_Teks			
us menyerahkan surat-surat kepada ayahnya. Tapi batu cincin ini jangan kamu	berikan	kepadanya. Simpanlah. Atau, jika kamu berkenan, sebaiknya simpanlah di sin	Novel	kamu	pro	FALSE
padamu kepada dunia, dan engkau akan ditendang sebagai balasannya. Tetaplah	berikan	yang terbaik yang engkau miliki.	Buku_Teks			
ga tingkat kepuasan masyarakat menjadi lebih tinggi, maka akan sangat mudah	berikan	"contoh pada kabupaten dan kota lainnya,"""" kata Yuddy."	Laman_Resmi			
ke kantor Anda (walk in customer), langsung dekati mereka dengan ramah dan	berikan	kartu nama Anda. Tunjukkan bahwa Anda mempunyai rumah lain yang tidak terd	Populer			
Ini adalah batu yang dulu ia	berikan	kepada Frater Wis, ia menemukannya di tepi sungai Luk UIo di Karang Sambun	Novel	ia	pro	TRUE
dengan itu, Amerika juga mengancam akan mencabut fasilitas GSP yang mereka	berikan	kepada Indonesia untuk 124 produknya. Jika fasilitas itu dicabut, Indonesi	Majalah	mereka	pro	TRUE
kuceritakan mengenai kebinasaan dua orang yang malang itu, ada baiknya aku	berikan	pejelasan tambahan apa sesungguhnya penyebab orang-orang pos sampai panik	Novel			
ep-konsep menurut Wartono (2003:110) merupakan kategori- kategori yang kita	berikan	pada stimulus-stimulus yang ada di lingkungan kita. Dalam memecahkan suatu	Disertasi_Tesis_Skripsi	kita	pro	TRUE
cak inspirasi.	Berikan	~	Buku_Teks			
Hasil cctv yang saya	berikan	hanya ditanggapi tidak terlihat kodenya, tanpa ada upaya lebih lanjut meng	Koran	saya	pro	TRUE
2	Berikan	1 contoh keluhan pada pemandu wisata pada saat tour berlangsung!	Buku_Teks			
6	Berikan	tanggapan/klarifikasi dari presentasi kelompok lain!	Buku_Teks			
2. Untuk tabel IFE	berikan	rating untuk masing-masing faktor dengan skala mulai dari 4 (sangat kuat)	Disertasi_Tesis_Skripsi			
	berikan	pada Hari Ibu!	Buku_Teks			
Bantuan Operasional Sekolah	Berikan	Solusi Kesejahteraan Guru Non ASN	Laman_Resmi			
uskan menghentikan resusitasi. Bila irama jantung berubah menjadi shockable	berikan	1x defibrilasi dan segera kompresi dada ulang selama 2 menit sebelum memer	Buku_Teks			
bungan yang damai dan ramah-tamah dengan umat beragama lain? Kalau ya, coba	berikan	contoh-contohnya! Kalau tidak, apa sebabnya?	Buku_Teks			
i dengan diantar ojek. Sampai di situ, nyaris kupeluk semua barang yang dia	berikan	. Baju, tas, sepatu, aksesori, dan gelang emas dua puluh gram. Sungguh, aku	Cerpen	dia	pro	TRUE
dalam hati, wahai ayah dan ibu ke mana hendak anakmu ini berjalan tolonglah	berikan	saya petunjuk, sangat berat masalah144 yang menimpa saya apalagi diserang	Disertasi_Tesis_Skripsi			
masalahnya pada aku dan gang lain. Aku sangat mengagangi dia, Tuhan tolong	berikan	kesabaran untuk sahabatku dalam menghadapi kehidupannya.	Novel			
Mau saya	berikan	"kepada seseorang."""""	Novel			
Aku sendiri yang desainkan, aku	berikan	semua. Kenapa enggak? Kalau se-Indonesia ini baik, se-Indonesia ini jadi m	Koran			
3. Amati gambar 3.9 di bawah ini dan	berikan	tanggapan terhadap fakta temuan tentang laut dua warna di bawah ini! Disku	Buku_Teks			
Angklung Udjo. Hal ini merupakan salah satu penciptaan lapangan kerja yang	berikan	Saung Angklung Udjo kepada masyarakat sekitar.	Disertasi_Tesis_Skripsi			
ah romusha tewas sebanyak itu memang di luar batas kemampuan yang dapat aku	berikan	kepada Jepang untuk menjadi gantinya.	Biografi	aku	pro	TRUE
5)	Berikan	saran-saran perbaikan pada teman anda.	Buku_Teks			
kecil bersama teman sebangku Anda! Bacalah puisi diatas secara bergantian.	Berikan	tanggapan Anda pada saat teman Anda membaca puisi tersebut. Berikan tangga	Buku_Teks			
	Berikan	contoh dan cuplikkan dari novel yang pernah Anda baca!	Buku_Teks			
