LEFT	NODE	RIGHT	GENRE	RELEVAN	STEM	AGENT_ENCODED	AGENT_PHRASE_TYPE	AGENT_ANIMACY	AGENT_CATEGORY	INTERCEPTION_BEFORE_AGENT
membuat vaksin, risiko pemberian vaksin saat resmi	diberikan	pada warga Indonesia jadi lebih besar. Terlebih b	Majalah	TRUE	beri-kan	FALSE				
ovember 2010. Meski setiap hari ribuan kubik pasir	ditambang	, jumlahnya masih tetap melimpah sampai dengan har	Majalah	TRUE	tambang	FALSE				
. Dengan demikian, ini	diharapkan	bisa mengubah kebiasaan	Majalah	TRUE	harap-kan	FALSE				
seyogyanya	dilakukan	secara gotong royong.	Majalah	TRUE	laku-kan	FALSE				
in-main, perwira menengah Polisi Militer Turki ini	dituding	terlibat dalam aksi kudeta. Pada 2009, para pendu	Majalah	TRUE	tuding	FALSE				
k apabila memang	dibutuhkan	~	Majalah	TRUE	butuh-kan	FALSE				
mesin yang laju tak	diimbangi	dengan	Majalah	TRUE	imbang-i	FALSE				
KUR yang	disalurkan	pada tahun 2017, serta didukung	Majalah	TRUE	salur-kan	FALSE				
duct of Capital lebih tinggi dari bunga yang harus	dibayar	akan memperoleh insentif.	Majalah	TRUE	bayar	FALSE				
pengalaman	digital	yang lebih baik.	Majalah	FALSE						
itu berbagai upaya coba	dikreasi	guna	Majalah	TRUE	kreasi	FALSE				
gunan berupa pintu berukuran besar khas Bugis yang	disebut	juga sebagai pintu Paduraksa. Keraton ini memang	Majalah	TRUE	sebut	FALSE				
tidak ada alih fungsi lahan, pada tahun ke-60 akan	dihasilkan	430 m2/ha. Jumlah itu jauh lebih tinggi daripada	Majalah	TRUE	hasil-kan	FALSE				
berangkat paling akhir. Ia diiringi 34 orang yang	diangkut	tiga bus besar dan beberapa mobil. Selain terdiri	Majalah	TRUE	angkut	FALSE				
ah perempuan ke dokter gigi di Denpasar. Tiap anak	dipasangi	"kawat gigi seharga Rp 3,5 juta. """"Kami menyamar, b"	Majalah	TRUE	pasang-i	FALSE				
ma halnya ketika mereka	diminta	untuk bersepeda, Xand jauh tertinggal dari Chris.	Majalah	TRUE	minta	FALSE				
dak selalu	dipraktikkan	di kalangan Tionghoa Indonesia. Terkait soal	Majalah	TRUE	praktik-kan	FALSE				
seperti ini sangat	diperlukan	dan	Majalah	TRUE	perlu-kan	FALSE				
a dengan operasi botoks untuk wajah. Bedanya hanya	disuntikkan	ke saluran kemih kita. Gunanya menurunkan kontrak	Majalah	TRUE	suntik-kan	FALSE				
~	diterapkan	pada sarana pembayaran	Majalah	TRUE	terap-kan	FALSE				
rinteraksi (physical	distancing	).	Majalah	FALSE						
Kemajuan sektor pertainan tidak bisa	ditentukan	oleh para petani saja,	Majalah	TRUE	tentu-kan	TRUE	oleh_phrase	animate	person	FALSE
tidaklah sulit untuk	diikuti	. Hanya	Majalah	TRUE	ikut-i	FALSE				
a perawatan yang benar. Perawatan kulit dari dalam	dilakukan	dengan menjalani pola makan sehat secara teratur,	Majalah	TRUE	laku-kan	FALSE				
umah jenis ini tidak	difungsikan	~	Majalah	TRUE	fungsi-kan	FALSE				
Kinerja ekonomi	digital	menerbitkan	Majalah	FALSE						
tu, Anies mengaku punya sejumlah kolega yang kerap	dimintai	pendapat mengenai persoalan dan jalan keluarnya.	Majalah	TRUE	minta-i	FALSE				
he Sydney Morning Herald, akan memuat berita kawat	diplomat	Amerika Serikat tentang Yudhoyono yang dibocorkan	Majalah	FALSE						
syariah harus tetap	dilandasi	dengan	Majalah	TRUE	landas-i	FALSE				
~	dijadikan	parameter hidup.	Majalah	TRUE	jadi-kan	FALSE				
ampak tegar di hadapan publik. Dan itu tidak hanya	dilakukan	pada hari Proklamasi saja. Setidaknya ada satu mo	Majalah	TRUE	laku-kan	FALSE				
VOC juga	diketahui	terdapat	Majalah	TRUE	ke-tahu-i	FALSE				
ei, Bakamla menyerahkan kapal dan semua awaknya ke	Direktorat	Polair Polda Kepulauan Riau. Sebulan kemudian, ka	Majalah	FALSE						
an pengapkiran dini induk ayam (parent stock) yang	diteken	12 perseroan pada pertengahan September lalu. Per	Majalah	TRUE	teken	TRUE	np	inanimate	institution/organisation	FALSE
Saat	ditemui	Tempo di rumah petak miliknya di kompleks Malaka	Majalah	TRUE	temu-i	TRUE	np	inanimate	institution/organisation	FALSE
pada apa yang harus	dilakukan	~	Majalah	TRUE	laku-kan	FALSE				
biasanya dipasangi lampu di depan wajah orang yang	diinterogasi	. Cahaya lampu bisa membantu polisi melihat bagian	Majalah	TRUE	interogasi	FALSE				
h tidak diperbolehkan memakainya di meja makan dan	dilarang	memainkannya menjelang waktu tidur.	Majalah	TRUE	larang	FALSE				
al tersebut, dapat	diinformasikan	bahwa pecahan Rp 200 ribu bergambar kuda	Majalah	TRUE	informasi-kan	FALSE				
Gibran yang akan memutuskan apakah menu itu layak	dikeluarkan	atau tidak.	Majalah	TRUE	keluar-kan	FALSE				
Bila	dibiarkan	, bakal muncul	Majalah	TRUE	biar-kan	FALSE				
memiliki filosofi, setiap orang memiliki hak untuk	diobati	, meninggal secara bermartabat, mengurangi rasa ny	Majalah	TRUE	obat-i	FALSE				
janin dan	diklaim	lebih aman digunakan	Majalah	TRUE	klaim	FALSE				
biaya/denda yang harus	dibayarnya	.	Majalah	TRUE	bayar	TRUE	pron-klitik-nya			
dan sekunder. Survei	dilakukan	untuk mengecek harga	Majalah	TRUE	laku-kan	FALSE				
~	dilakukannya	sekarang ini tidak	Majalah	TRUE	laku-kan	TRUE	pron-klitik-nya			
lau dibolehkan, sebaiknya jatah menteri NasDem tak	dikurangi	","""" ujarnya."	Majalah	TRUE	kurang-i	FALSE				
ngan BP Migas. Pertamina hanya agen penjualan yang	ditunjuk	BP Migas.	Majalah	TRUE	tunjuk	TRUE	np	inanimate	institution/organisation	FALSE
Eric	ditaruh	, dengan bayaran yang	Majalah	TRUE	taruh	FALSE				
wadahnya telah hengkang entah ke mana, suatu kali	dipakai	orang untuk kipas-kipas dan lupa dikembalikan, me	Novel	TRUE	pakai	TRUE	np	animate	person	FALSE
ekan dengan penampilan lebih rapi dari sebelumnya.	Disampaikannya	maksud hati, melamar Jeng Yah sebagai istri. Tent	Novel	TRUE	sampai-kan	FALSE				
tubuhnya sendiri dengan satu tangan, tangan kiri!	Diminta	kayang dia tersenyum riang, kuat, liat, tapi sang	Novel	TRUE	minta	FALSE				
alkan Rumah dan mampu melupakan Kerajaan Peri yang	diajarkan	bacaannya waktu masih kecil.	Novel	TRUE	ajar-kan	FALSE				
Satu hari satu malam terlewati, kaki Ayah gemetar	dipaksa	berjalan, mata berkunang-kunang, hanya soal waktu	Novel	TRUE	paksa	FALSE				
k di lantai mengenakan simbol? simbol seperti yang	dipakai	Panglima Timur. Mungkin ini anggota pasukannya ya	Novel	TRUE	pakai	TRUE	np	animate	person	FALSE
lensa kamera bisa menangkap seluruh bagiannya jika	diambil	dari jarak jauh sekalipun. Aku mendongak menatap	Novel	TRUE	ambil	FALSE				
stik menjelang tengah hari. Membuka bungkusan yang	disiapkan	Made. Roti, potongan buah. Meneruskan menyimak fo	Novel	TRUE	siap-kan	TRUE	np	animate	person	FALSE
uh uang seribu yen, saat itu juga diberikan, hanya	dicatat	dalam buku besar. Tidak ada yang mengalahkan beta	Novel	TRUE	catat	FALSE				
lamunan. Gelagapan meraih. Melotot melihat nama di	display	.	Novel	FALSE						
lahnya,	dikirim	ke Ibu Kota, memenangkan kompetisi nasional membu	Novel	TRUE	kirim	FALSE				
in tidur nyenyak di sarang itu seperti yang pernah	digambarkan	oleh Tuan. Yang pernah dijanjikan oleh Tuan, ia a	Novel	TRUE	gambar-kan	TRUE	oleh_phrase	animate	person	FALSE
dua kata aneh itu. Dari yang aku dengar, nama itu	dipilih	sebagai pengingat bagaimana dia berjuang saat men	Novel	TRUE	pilih	FALSE				
ri untuk	diseruduk	. Aku akan memakai kaus merah dan berdiri dekat de	Novel	TRUE	seruduk	FALSE				
n, bukan karena kehilangan harta, bukan karena mau	diciduk	polisi, bukan karena banyak utang, bukan pula kar	Novel	TRUE	ciduk	TRUE	np	animate	person	FALSE
Hamparan pasir sejauh beberapa kilometer kemudian	diganti	?kan dinding sungai yang terjal dan tinggi dengan	Novel	TRUE	ganti-kan	TRUE	np	inanimate	object	FALSE
eh mengenai pembicaraan di rapat yang sempat tidak	dihadiri	Soekram. Kekuatan ketiga tampaknya sudah masuk. M	Novel	TRUE	hadir-i	TRUE	np	animate	person	FALSE
selama dalam kandungan Turi, meskipun kemudian ia	dirasakan	"seperti tumor dalam rahim; kedua, ia sudah diangg"	Novel	TRUE	rasa-kan	FALSE				
gkan waktu ke pasar untuk mendapatkan majalah yang	dicarinya	. Sebelum ia membaca artikel yang ada di situ, hal	Novel	TRUE	cari	TRUE	pron-klitik-nya			
ak orang. Memang kemalangan negeri ini tiada dapat	dihindari	lagi setelah dua tangan kekuasaan yang sama kasar	Novel	TRUE	hindar-i	FALSE				
!! Itulah yang	diperlukan	"anak-anak muda Melayu zaman sekarang."""" Demikian j"	Novel	TRUE	perlu-kan	TRUE	np	animate	person	FALSE
kandang kambing, tidak pula pekarangan kosong yang	ditumbuhi	semak belukar yang tidak terurus.	Novel	TRUE	tumbuh-i	FALSE				
Derita ini hanya	dipahami	dan merupakan rahasia pahit orang-orang pendek. M	Novel	TRUE	paham-i	TRUE	np	animate	person	FALSE
-wenang itu. Benar saja, mereka yang meminta turut	dipuaskan	itu tidak memberikan bayaran. Mereka menghilang,	Novel	TRUE	puas-kan	FALSE				
rena kami terlalu sibuk membantu membuat selebaran	diskusi	yang kami distribusikan di beberapa pelosok terpi	Novel	FALSE						
ring kudengar kabar, kerap kubaca kisah-kisah yang	disebut	sebagai menggiriskan yang dapat orang lakukan ka	Novel	TRUE	sebut	FALSE				
. Membuat Kadek terduduk. Tangannya ditelikung dan	dipasangi	borgol.	Novel	TRUE	pasang-i	FALSE				
ak terganggu oleh kenyataan reputasi seninya hanya	dikenal	di antara orang sekitar rumah belaka.	Novel	TRUE	kenal	FALSE				
gsa lainnya yang gemar memakan daging babi seperti	dirinya	. Sudah berkali-kali moncong itu menjaganya supaya	Novel	FALSE						
Mas Garuda, aku memesan sepiring nasi briyani yang	dicampur	dengan daging domba, pita bread, dan salad berman	Novel	TRUE	campur	FALSE				
an kaitan yang semakin renggang, kalau tidak boleh	dikatakan	sudah hilang, antara rakyat dan Kasunanan, yang m	Novel	TRUE	kata-kan	FALSE				
ermintaannya. Anak itu benar-benar sedang tak bisa	dibujuk	.	Novel	TRUE	bujuk	FALSE				
ngan yang menemani kami bercerita bahwa kisah kami	dituliskan	menjadi novel di Kota Tishri.	Novel	TRUE	tulis-kan	FALSE				
ya bisa terus mencoba tersenyum. Tatapan ibu Suryo	dirasakannya	seperti tanpa terpejam, dan ia merasa lega ketika	Novel	TRUE	rasa-kan	TRUE	pron-klitik-nya			
h	dihantam	seribu gada. Sendi-sendinya nyeri, tulang-tulangn	Novel	TRUE	hantam	FALSE				
reka di Bolivia, Amaru memberi tahu bahwa Gio akan	dibantu	oleh empat orang. Satu akan berangkat dan mungkin	Novel	TRUE	bantu	TRUE	oleh_phrase	animate	person	FALSE
erjaya bukan buatan. Lambang yang dipakainya untuk	dicoblos	nanti diganti dari gambar buah kelapa menjadi gam	Novel	TRUE	coblos	FALSE				
entah ruang?an apa. Tempat tidurnya menggantung di	dinding	. Lampunya berbentuk aneh sekali, menyala terang.	Novel	FALSE						
menggandeng Tia masuk, duduk di sisinya, di sofa.	Ditatapnya	sepupunya yang dulu majenun, diingatnya ketika le	Novel	TRUE	tatap	TRUE	pron-klitik-nya			
berdoa dan terkabul. Di dinding kantor dinas pasar	dilihatnya	pengumuman lomba balap sepeda di ibu kota kabupat	Novel	TRUE	lihat	TRUE	pron-klitik-nya			
ebihi jam kerja orang kebanyakan, aku mungkin akan	diganjar	dengan hasil di atas orang kebanyakan pula.	Novel	TRUE	ganjar	FALSE				
ramah tamah dengan Dasiyah. Gadis itu adalah rekan	diskusi	yang seimbang dalam hal kretek. Dan itu sebenarny	Novel	FALSE						
la pasukan ditumpahkan. Bedil selalu penuh peluru,	ditembakkan	untuk menghalau dan mengepung sejumlah orang yang	Novel	TRUE	tembak-kan	FALSE				
semua kata Inggris di kaleng bekas susu yang biasa	dipakainya	untuk menyimpan timah hasil dulangannya. Cukup me	Novel	TRUE	pakai	TRUE	pron-klitik-nya			
tradisional dan internasional, tarian, musik, dan	diakhiri	dengan pesta dansa sampai pukul dua belas malam.	Novel	TRUE	akhir-i	FALSE				
Zarah terjerembap mencium pasir. Hal pertama yang	disadarinya	adalah menciutnya arus informasi yang tadi memban	Novel	TRUE	sadar-i	TRUE	pron-klitik-nya			
un, menatap gambar-gambar Robert Johnson yang mati	diracuni	itu karena terlalu dekat dengan pacar orang lain,	Novel	TRUE	racun-i	FALSE				
u, Jelita mulai menapaki bisnis di perusahaan yang	diberikan	oleh ayahnya. Membangun kerajaan baru sambil berp	Novel	TRUE	beri-kan	TRUE	oleh_phrase	animate	person	FALSE
Mas Edgar adalah bosku.	Dipanggil	Mas karena walaupun posisinya head, usianya masih	Novel	TRUE	panggil	FALSE				
akin, tetangga kanan kirinya pasti juga mendengar.	Dinding	mereka yang tipis, seolah penyambung lidah bagi a	Novel	FALSE						
ana	dimaksud	pada ayat	Perundang_undangan	TRUE	maksud	FALSE				
nghimpunan dana sebagaimana dimaksud pada ayat (3)	digunakan	untuk pengembangan sumber daya manusia, penelitia	Perundang_undangan	TRUE	guna-kan	FALSE				
dalam rencana tata ruang dan peraturan zonasi yang	ditetapkan	oleh pemerintah daerah berdasarkan Peraturan Pres	Perundang_undangan	TRUE	tetap-kan	TRUE	oleh_phrase	inanimate	institution/organisation	FALSE
aan sendiri, dan diberhentikan tidak dengan hormat	diberikan	hak kepegawaian sesuai dengan ketentuan peraturan	Perundang_undangan	TRUE	beri-kan	FALSE				
erkotaan Sarbagita yang diselenggarakan tanpa izin	ditentukan	sebagai berikut:	Perundang_undangan	TRUE	tentu-kan	FALSE				
lahan untuk penyediaan Terminal barang sebagaimana	dimaksud	pada ayat (2), setiap badan usaha atau pengelola	Perundang_undangan	TRUE	maksud	FALSE				
a	dimaksud	dalam huruf a, huruf b, dan huruf c,  maka  perlu	Perundang_undangan	TRUE	maksud	FALSE				
(2) untuk penetapan kebutuhan PNS tahun berikutnya	disampaikan	oleh PPK Instansi Pemerintah kepada Menteri dan K	Perundang_undangan	TRUE	sampai-kan	TRUE	oleh_phrase	inanimate	institution/organisation	FALSE
paksa pelanggar oleh petugas yang berwenang untuk	ditempatkan	pada fasilitas karantina atau isolasi yang diteta	Perundang_undangan	TRUE	tempat-kan	FALSE				
a	dimaksud	pada ayat (1) berdasarkan pertimbangan jumlah bar	Perundang_undangan	TRUE	maksud	FALSE				
n pendidikan profesional berkelanjutan sebagaimana	dimaksud	pada ayat (1) diatur dalam Peraturan Pemerintah.	Perundang_undangan	TRUE	maksud	FALSE				
a	dimaksud	pada ayat (1) dan ayat (2) diatur lebih lanjut da	Perundang_undangan	TRUE	maksud	FALSE				
disampaikan kepada Badan Pemeriksa Keuangan untuk	dilakukan	pemeriksaan.	Perundang_undangan	TRUE	laku-kan	FALSE				
Berskala Besar sebagaimana dimaksud pada ayat (1)	ditetapkan	oleh Menteri.	Perundang_undangan	TRUE	tetap-kan	TRUE	oleh_phrase	animate	person	FALSE
kuan yang	diwajibkan	menurut Peraturan Daerah ini ada pembuktian lainn	Perundang_undangan	TRUE	wajib-kan	FALSE				
Penyusunan Prolegda	dilakukan	berdasarkan atas:	Perundang_undangan	TRUE	laku-kan	FALSE				
akukan untuk menyelaraskan pencapaian kinerja yang	dikaitkan	dengan proses pencapaian tujuan dan sasaran.	Perundang_undangan	TRUE	kait-kan	FALSE				
kretariat sebagaimana	dimaksud	pada ayat (1) dipimpin oleh seorang Sekretaris ya	Perundang_undangan	TRUE	maksud	FALSE				
-6	Direksi	dilarang memiliki dan/atau menjalankan usaha yang	Perundang_undangan	FALSE						
b. paling sedikit 1 (satu) kali rapat, diantaranya	dilakukan	dengan mengundang akuntan publik.	Perundang_undangan	TRUE	laku-kan	FALSE				
dengan norma, standar, prosedur, dan kriteria yang	ditetapkan	oleh Pemerintah Pusat memiliki kewenangan mengump	Perundang_undangan	TRUE	tetap-kan	TRUE	oleh_phrase	inanimate	institution/organisation	FALSE
an kompetensi sebagaimana dimaksud dalam Pasal 205	disampaikan	kepada LAN sebagai bahan untuk menyusun rencana p	Perundang_undangan	TRUE	sampai-kan	FALSE				
untuk Barang Milik Daerah yang dari awal pengadaan	direncanakan	untuk dilakukan pemindahtanganan dengan cara peny	Perundang_undangan	TRUE	rencana-kan	FALSE				
1) disusun berdasarkan abjad serta diajukan dengan	disertai	salinan berkas administrasi.	Perundang_undangan	TRUE	serta-i	FALSE				
ibantu oleh Wakil Presiden dan menteri sebagaimana	dimaksud	dalam Undang-Undang Dasar Negara Republik Indones	Perundang_undangan	TRUE	maksud	FALSE				
335 ayat (3), calon anggota DPD yang bersangkutan	dikenai	sanksi administratif berupa tidak ditetapkan menj	Perundang_undangan	TRUE	kena-i	FALSE				
g tidak memenuhi ketentuan dalam Undang-Undang ini	diancam	dengan pidana penjara paling lama 4 (empat) tahun	Perundang_undangan	TRUE	ancam	FALSE				
aslu, Bawaslu Provinsi, dan Bawaslu Kabupaten/Kota	diputuskan	melalui rapat pleno tertutup.	Perundang_undangan	TRUE	putus-kan	FALSE				
ng-undang dapat	diajukan	oleh DPD berkaitan dengan otonomi daerah, hubunga	Perundang_undangan	TRUE	aju-kan	TRUE	oleh_phrase	inanimate	institution/organisation	FALSE
wajib sebagaimana dimaksud dalam Pasal 11 ayat (1)	dilakukan	oleh Menteri.	Perundang_undangan	TRUE	laku-kan	TRUE	oleh_phrase	animate	person	FALSE
a	dimaksud	dalam Pasal 14 huruf d ditetapkan dalam rangka pe	Perundang_undangan	TRUE	maksud	FALSE				
hasan rancangan KUA dan rancangan PPAS sebagaimana	dimaksud	pada ayat (1) dan ayat	Perundang_undangan	TRUE	maksud	FALSE				
rahat sebagaimana	dimaksud	pada ayat	Perundang_undangan	TRUE	maksud	FALSE				
as pelayanan dan kegiatan keolahragaan sebagaimana	dimaksud	pada ayat (1) dan ayat (2) dalam rangka pelaksana	Perundang_undangan	TRUE	maksud	FALSE				
3 yang merupakan kawasan sekitar danau sebagaimana	dimaksud	pada ayat (1) ditetapkan di:	Perundang_undangan	TRUE	maksud	FALSE				
ewenangan memerintah dan mengelola sumberdaya yang	diserahkan	sektor/lembaga terkait dalam rangka tanggap darur	Perundang_undangan	TRUE	serah-kan	TRUE	np	inanimate	institution/organisation	FALSE
Transportasi yang handal, berkemampuan tinggi, dan	diselenggarakan	secara terpadu, tertib, aman, lancar, nyaman, dan	Perundang_undangan	TRUE	selenggara-kan	FALSE				
reemtif perdagangan anak dan perempuan sebagaimana	dimaksud	pada ayat (1) dilaksanakan oleh perangkat daerah	Perundang_undangan	TRUE	maksud	FALSE				
l pengadaan PNS sebagaimana dimaksud pada ayat (1)	diketuai	oleh Kepala BKN.	Perundang_undangan	TRUE	ketua-i	TRUE	oleh_phrase	animate	person	FALSE
emerintah ini	dibentuk	KADI yang bertugas untuk menangani permasalahan y	Perundang_undangan	TRUE	bentuk	TRUE	np	inanimate	institution/organisation	FALSE
(4) Bukti sebagaimana	dimaksud	pada ayat (3) dapat meliputi dokumen elektronik.	Perundang_undangan	TRUE	maksud	FALSE				
dan/atau kegiatan atau komersial atau operasional	dilakukan	melalui sistem OSS dengan melengkapi data, Komitm	Perundang_undangan	TRUE	laku-kan	FALSE				
bagaimana	dimaksud	pada ayat (3) menyampaikan laporan hasil pengawas	Perundang_undangan	TRUE	maksud	FALSE				
turan perundang-undangan di bidang Kehutanan masih	ditetapkan	sebagai hutan produksi yang dapat dikonversi (HPK	Perundang_undangan	TRUE	tetap-kan	FALSE				
Peraturan Presiden, kecuali ketentuan sebagaimana	dimaksud	dalam Pasal 51 ayat (2) huruf a.	Perundang_undangan	TRUE	maksud	FALSE				
(2) Badan	dipimpin	oleh Kepala Badan.	Perundang_undangan	TRUE	pimpin	TRUE	oleh_phrase	animate	person	FALSE
	dimiliki	, dikuasai, dan/atau dikelola oleh instansi atau p	Perundang_undangan	TRUE	milik-i	TRUE	oleh_phrase	inanimate	institution/organisation	FALSE
bagaimana dimaksud dalam Pasal 78 ayat (2) huruf a	digunakan	sebagai pedoman bagi Pemerintah dan pemerintah ka	Perundang_undangan	TRUE	guna-kan	FALSE				
capaian Hasil dan indikator capaian Keluaran yang	didasarkan	pada prioritas nasional disusun berdasarkan nomen	Perundang_undangan	TRUE	dasar-kan	FALSE				
erhadap pelaksanaan APBN Tahun Anggaran 2017 telah	dilakukan	"pemeriksaan oleh Badan Pemeriksa Keuangan (BPK);"	Perundang_undangan	TRUE	laku-kan	TRUE	oleh_phrase	inanimate	institution/organisation	TRUE
yang ada di halaman depan. Jika nama program yang	diinginkan	sudah ada, tinggal klik saja. Contoh:	Populer	TRUE	ingin-kan	FALSE				
yang dilarang terselip. Untungnya saya tidak harus	diperiksa	seperti itu. Kalau tidak, mungkin saya tambah seb	Populer	TRUE	periksa	FALSE				
Perusahaan ini	dimiliki	oleh satu orang, sehingga apabila perusahaan memp	Populer	TRUE	milik-i	TRUE	oleh_phrase	animate	person	FALSE
dihasilkan oleh para ulama. Jika dalam ilmu Fiqih	disebut	dengan mazhab maka dalam Ilmu Tasawuf disebut den	Populer	TRUE	sebut	FALSE				
	disesuaikan	untuk menggambarkan biaya saat ini untuk menggant	Populer	TRUE	sesuai-kan	FALSE				
gan masyarakat dan pendekatan pelayanan masyarakat	dikembangkan	berbasiskan pendekatan konsensus. Sedangkan model	Populer	TRUE	kembang-kan	FALSE				
~	Diuretik	yang sering kali diresepkan untuk menurunkan teka	Populer	FALSE						
dan tindak lanjut memuat perangkat-perangkat yang	ditujukan	untuk memantau dan mengevaluasi kejadian fraud se	Populer	TRUE	tuju-kan	FALSE				
ur-unsur dalam laporan keuangan. Hubungan tersebut	dinyatakan	dalam bentuk matematis yang sederhana.	Populer	TRUE	nyata-kan	FALSE				
erpindah kuadran/zona. Pertimbangan ini lebih baik	dibanding	jika Anda resign karena emosional.	Populer	TRUE	banding	FALSE				
Rasio ini	digunakan	untuk menilai ketergantungan bank pada pendanaan	Populer	TRUE	guna-kan	FALSE				
ulkan simpanan dan utang lainnya dengan bunga yang	dibebankan	atas pinjaman dan aktiva lainnya.	Populer	TRUE	beban-kan	FALSE				
ainuddin MZ	digemari	dan di-nantikan oleh masyarakat adalah karena ia	Populer	TRUE	gemar-i	TRUE	oleh_phrase	animate	person	FALSE
likan diabetes, dan menghindari alkohol. Bisa juga	diberikan	obat penurun kadar lemak darah.	Populer	TRUE	beri-kan	FALSE				
euntungan sebagai arsip tercatat, jelas, dan dapat	disimpan	sebagai bukti, baik bagi penerima maupun pengirim	Populer	TRUE	simpan	FALSE				
g menekankan inovasi dan proses inovasi yang dapat	digunakan	untuk menangani sejumlah masalah.	Populer	TRUE	guna-kan	FALSE				
skipun seorang kandidat	disukai	oleh banyak orang, tapi jika komitmen pemilihnya	Populer	TRUE	suka-i	TRUE	oleh_phrase	animate	person	FALSE
semacam itulah yang	dianggap	hebat. Pemimpin yang tidak hanya mampu mengelola	Populer	TRUE	anggap	FALSE				
50-70 hari tergantung dari ukuran ikan yang hendak	dipanen	. Bila benih ditebar benih berukuran > 10 g/ekor,	Populer	TRUE	panen	FALSE				
Obligasi yang dapat dikonversi menjadi saham biasa	dinamakan	convertible bonds. Obligasi yang dapat ditebus ke	Populer	TRUE	nama-kan	FALSE				
komunikasi yang baik hubungan antar manusia dapat	dipelihara	kelangsungannya. Dengan komunikasi antar manusia	Populer	TRUE	pelihara	FALSE				
Evaluasi kinerja	dirasakan	bermakna bila hasilnya dapat dimanfaatkan. Sebaga	Populer	TRUE	rasa-kan	FALSE				
ahadat dengan dua kalimah syahadat, seorang muslim	dituntut	untuk tunduk taat kepada perintah Allah SWT dan R	Populer	TRUE	tuntut	FALSE				
n, akhirnya siswa mengumpulkan hipotesis mana yang	diterima	dan mana yang ditolak kemampuan yang diharapkan d	Populer	TRUE	terima	FALSE				
da tuliskan besar-besar perkata dan ditempelkan di	dinding	. Ketika dinyanyikan sambil ditunjukkan bunyi-buny	Populer	FALSE						
atahari dapat masuk ke dalam kolam. Sinar matahari	diperlukan	untuk fotosintesis di dalam air yang dapat menyup	Populer	TRUE	perlu-kan	FALSE				
simpel, sederhana, langsung pada tujuan, dan mudah	dipahami	. Jangan memakai bahasa vickynisasi ya, hehe. Bisa	Populer	TRUE	paham-i	FALSE				
Hyperactivity	Disorder	(ADHD)	Populer	FALSE						
an akuntansi	dibutuhkan	dukungan bukti-bukti transaksi yang bersifat obye	Populer	TRUE	butuh-kan	FALSE				
aan masyarakat desa. Hasil pendataan dan pemilahan	dituangkan	dalam format data rencana program dan kegiatan pe	Populer	TRUE	tuang-kan	FALSE				
i Indonesia. Artinya, selama ini media massa hanya	dilihat	sebagai instrumen filosofi kebebasan berpendapat.	Populer	TRUE	lihat	FALSE				
satu mainan ke mainan yang lain. Keadaan ini juga	disebabkan	fokus yang rendah dan perilaku hiperkinetik yang	Populer	TRUE	sebab-kan	TRUE	np	inanimate	cognition	FALSE
kini mengalami degradasi. Dari nilai gotong royong	diharapkan	dapat membangkitkan spirit solidaritas, semangat	Populer	TRUE	harap-kan	FALSE				
saha manusia dalam meraih ridla Allah SWT? Hal ini	dicontohkan	oleh Nabi Saw, yang menerima mawahib terbesar ber	Populer	TRUE	contoh-kan	TRUE	oleh_phrase	animate	person	FALSE
ytetracycline HCI sebanyak 50 mg/kg ikan/hari yang	diberikan	selama 7-10 hari berturut-turut.	Populer	TRUE	beri-kan	FALSE				
mukan atau informasinya itu faktual dan tidak bisa	disangkal	(indisputable).	Populer	TRUE	sangkal	FALSE				
ng dimakan ikan akan	dipergunakan	untuk pemeliharaan tubuh, metabolisme basal, akti	Populer	TRUE	per-guna-kan	FALSE				
esalahan pengucapan siswa setelah semuanya selesai	diucapkan	.Penilaian dititikberatkan pada ketepatan ucapan (	Populer	TRUE	ucap-kan	FALSE				
kinan bisa tercipta dari pengalaman kita, apa yang	dilihat	, didengar, maupun dirasakan. Keyakinan juga bisa	Populer	TRUE	lihat	FALSE				
h utama zaman ini adalah Aristoteles. Gagasan yang	dibawanya	adalah E/bos (kredibilitas sumber), Phantos (hal	Populer	TRUE	bawa	TRUE	pron-klitik-nya			
tis tentang seberapa jujur beberapa informasi yang	ditampilkan	dalam profil online. Selain berkencan, pengguna j	Populer	TRUE	tampil-kan	FALSE				
k kekaryawanannya. Perpanjangan cuti tersebut bisa	digunakan	untuk berbagai alasan, seperti: mengikuti pendidi	Populer	TRUE	guna-kan	FALSE				
genai bagaimana kegiatan SDM akan dikembangkan dan	dikelola	.	Populer	TRUE	kelola	FALSE				
ang mengidentifikasi sumber dana dari operasi yang	dianggarkan	dan rencana penggunaan dana tersebut selama perio	Populer	TRUE	anggar-kan	FALSE				
endidikan Islam sebagaimana disebutkan, semestinya	dilihat	dari pesan universal Islam sebagai agama yang men	Populer	TRUE	lihat	FALSE				
ra tersebut harus	dihadiri	"oleh tim penyidik dan tim penelaah;"	Populer	TRUE	hadir-i	TRUE	oleh_phrase	animate	person	FALSE
maja acap kali	diakibatkan	pikiran yang dipengaruhi oleh ide-ide dan teori-t	Populer	TRUE	akibat-kan	TRUE	np	inanimate	cognition	FALSE
ya pengiriman dari Surabaya ke Jakarta, waktu yang	dibutuhkan	pun lebih efisien.	Populer	TRUE	butuh-kan	FALSE				
Jika	digambarkan	fenomena new wave culture dalam perspektif Hermaw	Populer	TRUE	gambar-kan	FALSE				
